,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
latent-diffusion_noise2image_FFHQ.pt,1.0,0.944,0.914,0.886,0.866,0.832,0.798,0.764,0.706,0.622,0.0
stylegan3_t_afhqv2_512x512.pt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9819277108433735,0.006024096385542169
stylegan2_ffhq_1024x1024.pt,1.0,0.996996996996997,0.996996996996997,0.993993993993994,0.990990990990991,0.984984984984985,0.978978978978979,0.963963963963964,0.9579579579579579,0.9459459459459459,0.05105105105105105
latent-diffusion_text2img_valid.pt,1.0,0.974,0.963,0.958,0.95,0.939,0.927,0.913,0.893,0.855,0.02
stylegan3_r_ffhqu_256x256.pt,1.0,0.9880239520958084,0.9820359281437125,0.9700598802395209,0.9520958083832335,0.9341317365269461,0.9101796407185628,0.8862275449101796,0.8562874251497006,0.7964071856287425,0.0
stylegan3_t_ffhqu_1024x1024.pt,1.0,1.0,1.0,1.0,1.0,1.0,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.9760479041916168,0.029940119760479042
real_coco_valid.pt,0.0,0.6358,0.6894,0.7254,0.754,0.7762,0.7994,0.8252,0.8486,0.8832,1.0
stylegan3_r_afhqv2_512x512.pt,1.0,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9819277108433735,0.9759036144578314,0.9698795180722891,0.9578313253012049,0.012048192771084338
guided-diffusion_class2image_ImageNet.pt,1.0,0.828,0.788,0.767,0.741,0.722,0.691,0.658,0.627,0.555,0.004
stylegan2_lsundog_256x256.pt,1.0,0.9700598802395209,0.9580838323353293,0.9341317365269461,0.9221556886227545,0.9041916167664671,0.8682634730538922,0.8622754491017964,0.844311377245509,0.8083832335329342,0.0
guided-diffusion_noise2image_LSUNcats.pt,1.0,0.02,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.006666666666666667,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0
dalle_2.pt,1.0,0.999,0.999,0.999,0.999,0.996,0.995,0.993,0.99,0.986,0.048
real_imagenet_val.pt,0.0,0.6575,0.72,0.754,0.7825,0.807,0.831,0.853,0.877,0.9025,1.0
latent-diffusion_noise2image_LSUNbedrooms.pt,1.0,0.42,0.344,0.308,0.26,0.24,0.228,0.196,0.156,0.108,0.0
stylegan2_afhqv2_512x512.pt,1.0,1.0,1.0,1.0,1.0,1.0,0.996996996996997,0.993993993993994,0.987987987987988,0.963963963963964,0.057057057057057055
stylegan3_t_ffhqu_256x256.pt,1.0,0.9820359281437125,0.9760479041916168,0.9700598802395209,0.9640718562874252,0.9580838323353293,0.9461077844311377,0.9281437125748503,0.9041916167664671,0.8862275449101796,0.0
eg3d.pt,1.0,0.995,0.992,0.991,0.989,0.985,0.983,0.976,0.966,0.953,0.015
latent-diffusion_class2image_ImageNet.pt,1.0,0.775,0.721,0.686,0.653,0.619,0.591,0.564,0.527,0.469,0.004
stylegan2_ffhq_256x256.pt,1.0,1.0,1.0,1.0,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.041916167664670656
stable_diffusion_512_50steps.pt,1.0,0.9755,0.961,0.9555,0.9425,0.9335,0.921,0.901,0.884,0.8465,0.019
latent-diffusion_noise2image_LSUNchurches.pt,1.0,0.504,0.416,0.376,0.324,0.288,0.244,0.22,0.204,0.16,0.0
stable_diffusion_512_200steps.pt,1.0,0.9595,0.9415,0.925,0.9105,0.8965,0.885,0.865,0.8335,0.7855,0.0135
biggan_512.pt,1.0,0.932,0.912,0.902,0.892,0.874,0.862,0.84,0.806,0.786,0.054
taming-transformers_class2image_ImageNet.pt,1.0,0.942,0.922,0.91,0.898,0.884,0.864,0.842,0.828,0.786,0.022
dalle-mini_valid.pt,1.0,0.991,0.987,0.986,0.981,0.978,0.97,0.965,0.956,0.94,0.038
stable_diffusion_512_100steps.pt,1.0,0.968,0.9545,0.943,0.9265,0.9125,0.901,0.8855,0.858,0.8035,0.0135
guided-diffusion_noise2image_LSUNbedrooms.pt,1.0,0.13,0.09,0.075,0.0575,0.055,0.0525,0.0375,0.03,0.0175,0.0
taming-transformers_segm2image_valid.pt,1.0,0.962,0.948,0.934,0.918,0.896,0.886,0.864,0.838,0.778,0.004
biggan_256.pt,1.0,0.972,0.966,0.958,0.95,0.942,0.932,0.918,0.904,0.89,0.112
guided-diffusion_noise2image_LSUNhorses.pt,1.0,0.02666666666666667,0.016666666666666666,0.013333333333333334,0.01,0.01,0.01,0.01,0.0033333333333333335,0.0033333333333333335,0.0
real_ucid.pt,0.0,0.2533632286995516,0.3146487294469357,0.3639760837070254,0.3938714499252616,0.41853512705530643,0.45440956651718983,0.4940209267563528,0.5291479820627802,0.5919282511210763,1.0
stable_diffusion_256.pt,1.0,0.994,0.989,0.989,0.982,0.975,0.97,0.964,0.955,0.932,0.039
glide_text2img_valid.pt,1.0,0.893,0.866,0.852,0.831,0.814,0.794,0.766,0.73,0.695,0.036
stylegan3_r_ffhqu_1024x1024.pt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940119760479041,0.9820359281437125,0.9820359281437125,0.023952095808383235
progan_lsun.pt,1.0,0.999,0.998,0.998,0.995,0.994,0.994,0.991,0.988,0.982,0.044
taming-transformers_noise2image_FFHQ.pt,1.0,0.984,0.967,0.953,0.936,0.917,0.893,0.861,0.814,0.745,0.0
