,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00
biggan_512.pt,1.0,0.698,0.598,0.528,0.486,0.456,0.428,0.398,0.374,0.342,0.306,0.284,0.266,0.242,0.228,0.196,0.18,0.156,0.118,0.06,0.0
stylegan3_r_ffhqu_1024x1024.pt,1.0,0.9940119760479041,0.9880239520958084,0.9880239520958084,0.9820359281437125,0.9700598802395209,0.9520958083832335,0.9341317365269461,0.9281437125748503,0.9041916167664671,0.9041916167664671,0.8922155688622755,0.8562874251497006,0.8383233532934131,0.7904191616766467,0.7305389221556886,0.6946107784431138,0.6287425149700598,0.5449101796407185,0.40718562874251496,0.0
latent-diffusion_noise2image_FFHQ.pt,1.0,0.69,0.598,0.526,0.474,0.43,0.376,0.35,0.316,0.288,0.264,0.24,0.22,0.19,0.176,0.152,0.126,0.11,0.074,0.034,0.0
stable_diffusion_512_50steps.pt,1.0,0.9825,0.9645,0.953,0.9405,0.929,0.918,0.9045,0.8935,0.882,0.8725,0.8545,0.837,0.817,0.794,0.77,0.739,0.695,0.6475,0.5385,0.0
real_ucid.pt,0.0,0.5119581464872944,0.6106128550074739,0.6659192825112108,0.7092675635276532,0.7466367713004485,0.7772795216741405,0.8026905829596412,0.8176382660687593,0.8363228699551569,0.8587443946188341,0.8677130044843049,0.8841554559043349,0.9005979073243647,0.914050822122571,0.9275037369207773,0.9394618834080718,0.953662182361734,0.9730941704035875,0.984304932735426,1.0
biggan_256.pt,1.0,0.5,0.366,0.304,0.264,0.222,0.198,0.18,0.164,0.138,0.122,0.106,0.088,0.082,0.064,0.048,0.042,0.034,0.024,0.012,0.0
guided-diffusion_noise2image_LSUNhorses.pt,1.0,0.49,0.4,0.3233333333333333,0.2733333333333333,0.26,0.23,0.21,0.19,0.17,0.15,0.13666666666666666,0.12333333333333334,0.11,0.09333333333333334,0.08,0.07333333333333333,0.06333333333333334,0.05,0.02666666666666667,0.0
guided-diffusion_noise2image_LSUNbedrooms.pt,1.0,0.36,0.2675,0.2275,0.1875,0.155,0.125,0.1125,0.095,0.0725,0.065,0.0575,0.055,0.045,0.04,0.035,0.0225,0.0225,0.015,0.0075,0.0
progan_lsun.pt,1.0,0.679,0.574,0.487,0.434,0.406,0.366,0.334,0.309,0.289,0.256,0.234,0.202,0.179,0.156,0.133,0.109,0.085,0.055,0.028,0.0
