,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00
stylegan2_ffhq_1024x1024.pt,1.0,1.0,1.0,1.0,1.0,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,0.975975975975976,0.96996996996997,0.96996996996997,0.9669669669669669,0.9579579579579579,0.954954954954955,0.9459459459459459,0.9279279279279279,0.9159159159159159,0.8858858858858859,0.8258258258258259,0.0
deepfake.pt,1.0,0.9751667902149741,0.9514455151964418,0.9240177909562639,0.8988139362490734,0.8739807264640475,0.8458117123795404,0.8150481838398814,0.7887323943661971,0.7587101556708673,0.7220163083765753,0.6849518161601186,0.6449221645663454,0.609340252038547,0.56412157153447,0.5185322461082283,0.4636767976278725,0.3899184581171238,0.2998517420311342,0.18383988139362492,0.0
stable_diffusion_512_50steps.pt,1.0,0.996,0.993,0.989,0.9855,0.98,0.9735,0.9675,0.959,0.9515,0.943,0.9355,0.923,0.913,0.8975,0.879,0.8545,0.828,0.775,0.69,0.0
biggan_512.pt,1.0,0.984,0.968,0.958,0.952,0.942,0.934,0.922,0.908,0.892,0.874,0.872,0.858,0.826,0.792,0.77,0.726,0.698,0.636,0.548,0.0
ffhq.pt,0.0,0.011,0.024,0.044,0.062,0.08,0.101,0.114,0.145,0.165,0.186,0.221,0.25,0.283,0.319,0.357,0.399,0.456,0.53,0.666,1.0
stable_diffusion_256.pt,1.0,0.999,0.997,0.996,0.995,0.995,0.995,0.995,0.994,0.991,0.989,0.987,0.986,0.983,0.976,0.966,0.953,0.928,0.891,0.824,0.0
glide_text2img_valid.pt,1.0,0.986,0.964,0.952,0.934,0.923,0.912,0.898,0.887,0.875,0.861,0.841,0.824,0.808,0.786,0.765,0.741,0.7,0.652,0.563,0.0
latent-diffusion_text2img_valid.pt,1.0,0.987,0.975,0.968,0.96,0.95,0.943,0.932,0.922,0.913,0.901,0.885,0.867,0.845,0.824,0.798,0.78,0.743,0.678,0.57,0.0
biggan_256.pt,1.0,0.992,0.984,0.978,0.976,0.968,0.96,0.95,0.94,0.936,0.928,0.924,0.914,0.904,0.89,0.882,0.858,0.84,0.79,0.708,0.0
crn.pt,1.0,1.0,1.0,1.0,0.9998433093074272,0.9998433093074272,0.9992165465371357,0.9974929489188342,0.995455969915387,0.9929489188342212,0.9904418677530554,0.9857411469758697,0.9772798495769351,0.9675650266374177,0.9506424318395488,0.9296458790347853,0.89157004073958,0.83516139141335,0.7485114384205578,0.578972109056722,0.0
