,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00
guided-diffusion_noise2image_LSUNbedrooms.pt,1.0,0.14,0.1325,0.125,0.12,0.12,0.1175,0.115,0.115,0.115,0.115,0.115,0.115,0.11,0.11,0.11,0.1075,0.1075,0.105,0.0975,0.0375
stylegan3_r_afhqv2_512x512.pt,1.0,0.4819277108433735,0.46987951807228917,0.4578313253012048,0.45180722891566266,0.45180722891566266,0.45180722891566266,0.4397590361445783,0.43373493975903615,0.43373493975903615,0.43373493975903615,0.42168674698795183,0.41566265060240964,0.41566265060240964,0.40963855421686746,0.40963855421686746,0.4036144578313253,0.39759036144578314,0.3855421686746988,0.3614457831325301,0.21084337349397592
stable_diffusion_512_50steps.pt,1.0,0.282,0.2675,0.261,0.257,0.2515,0.2485,0.2465,0.244,0.24,0.2375,0.234,0.2305,0.229,0.2255,0.2215,0.2195,0.214,0.21,0.201,0.074
stylegan2_ffhq_1024x1024.pt,1.0,0.978978978978979,0.978978978978979,0.978978978978979,0.975975975975976,0.975975975975976,0.975975975975976,0.972972972972973,0.972972972972973,0.972972972972973,0.96996996996997,0.963963963963964,0.9579579579579579,0.9579579579579579,0.9579579579579579,0.9579579579579579,0.9579579579579579,0.9579579579579579,0.9579579579579579,0.9579579579579579,0.8048048048048048
stable_diffusion_512_200steps.pt,1.0,0.2755,0.263,0.256,0.251,0.2455,0.2415,0.2395,0.237,0.235,0.234,0.23,0.228,0.225,0.22,0.216,0.2145,0.209,0.2035,0.1925,0.063
stylegan3_t_afhqv2_512x512.pt,1.0,0.4457831325301205,0.40963855421686746,0.4036144578313253,0.39156626506024095,0.3795180722891566,0.3614457831325301,0.3614457831325301,0.3614457831325301,0.3614457831325301,0.35542168674698793,0.35542168674698793,0.35542168674698793,0.3493975903614458,0.3493975903614458,0.3433734939759036,0.3253012048192771,0.3192771084337349,0.3192771084337349,0.3192771084337349,0.0963855421686747
stable_diffusion_512_100steps.pt,1.0,0.273,0.259,0.248,0.245,0.2425,0.2385,0.235,0.2315,0.228,0.2255,0.2225,0.218,0.2155,0.213,0.209,0.2045,0.1995,0.1955,0.187,0.0735
celebA.pt,0.0,0.8919459729864933,0.9009504752376188,0.9054527263631816,0.9109554777388694,0.912456228114057,0.9159579789894947,0.9174587293646823,0.9184592296148074,0.919959979989995,0.92096048024012,0.9214607303651826,0.9234617308654327,0.9249624812406203,0.9254627313656828,0.9269634817408704,0.928464232116058,0.9314657328664332,0.9339669834917459,0.9384692346173087,0.9884942471235618
gaugan.pt,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9986,0.9986,0.9896
biggan_256.pt,1.0,0.888,0.884,0.878,0.874,0.87,0.866,0.866,0.866,0.864,0.864,0.862,0.86,0.86,0.858,0.856,0.852,0.846,0.846,0.846,0.746
guided-diffusion_noise2image_LSUNhorses.pt,1.0,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0
eg3d.pt,1.0,0.959,0.953,0.95,0.948,0.946,0.943,0.94,0.939,0.939,0.935,0.932,0.931,0.928,0.928,0.925,0.924,0.918,0.908,0.897,0.671
progan_lsun.pt,1.0,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
biggan_512.pt,1.0,0.814,0.804,0.796,0.796,0.796,0.796,0.794,0.794,0.794,0.794,0.794,0.792,0.79,0.788,0.786,0.78,0.78,0.778,0.778,0.656
latent-diffusion_noise2image_FFHQ.pt,1.0,0.814,0.8,0.788,0.78,0.776,0.772,0.766,0.756,0.752,0.748,0.742,0.738,0.738,0.734,0.73,0.724,0.72,0.71,0.694,0.436
ffhq.pt,0.0,0.651,0.669,0.679,0.685,0.696,0.7,0.706,0.712,0.718,0.724,0.729,0.73,0.732,0.74,0.743,0.748,0.757,0.763,0.779,0.953
deepfake.pt,1.0,0.5793180133432172,0.561527057079318,0.550407709414381,0.5429948109710897,0.5374351371386212,0.5315048183839881,0.5263157894736842,0.5203854707190512,0.5140845070422535,0.5088954781319496,0.5048183839881394,0.4981467753891772,0.48962194217939214,0.48517420311341736,0.4744255003706449,0.46590066716085987,0.45997034840622686,0.4481097108969607,0.4295774647887324,0.15604151223128243
real_ucid.pt,0.0,0.9379671150971599,0.9424514200298953,0.945440956651719,0.9476831091180867,0.9491778774289985,0.9506726457399103,0.9506726457399103,0.9521674140508222,0.9521674140508222,0.953662182361734,0.953662182361734,0.9551569506726457,0.9559043348281017,0.9566517189835575,0.9581464872944694,0.9596412556053812,0.9596412556053812,0.9618834080717489,0.9641255605381166,0.992526158445441
stylegan2_afhqv2_512x512.pt,1.0,0.8768768768768769,0.8648648648648649,0.8588588588588588,0.8528528528528528,0.8468468468468469,0.8438438438438438,0.8378378378378378,0.8348348348348348,0.8348348348348348,0.8258258258258259,0.8258258258258259,0.8258258258258259,0.8258258258258259,0.8258258258258259,0.8258258258258259,0.8258258258258259,0.8198198198198198,0.8108108108108109,0.8078078078078078,0.6486486486486487
stylegan3_t_ffhqu_1024x1024.pt,1.0,0.8982035928143712,0.8982035928143712,0.8862275449101796,0.8862275449101796,0.8802395209580839,0.874251497005988,0.874251497005988,0.8682634730538922,0.8682634730538922,0.8562874251497006,0.8562874251497006,0.8502994011976048,0.8502994011976048,0.8502994011976048,0.8502994011976048,0.8502994011976048,0.8502994011976048,0.844311377245509,0.8263473053892215,0.6047904191616766
taming-transformers_class2image_ImageNet.pt,1.0,0.678,0.666,0.66,0.652,0.644,0.642,0.634,0.63,0.63,0.628,0.624,0.622,0.62,0.62,0.616,0.61,0.608,0.604,0.602,0.424
latent-diffusion_class2image_ImageNet.pt,1.0,0.448,0.44,0.436,0.427,0.423,0.421,0.419,0.414,0.412,0.411,0.406,0.405,0.401,0.398,0.395,0.393,0.387,0.381,0.373,0.198
dalle-mini_valid.pt,1.0,0.723,0.711,0.709,0.703,0.699,0.696,0.693,0.691,0.688,0.684,0.679,0.679,0.677,0.674,0.671,0.667,0.664,0.657,0.646,0.448
stylegan3_t_ffhqu_256x256.pt,1.0,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9700598802395209,0.9700598802395209,0.9700598802395209,0.9700598802395209,0.8383233532934131
taming-transformers_segm2image_valid.pt,1.0,0.806,0.794,0.794,0.794,0.792,0.786,0.784,0.78,0.778,0.77,0.764,0.764,0.76,0.754,0.752,0.746,0.74,0.73,0.726,0.458
glide_text2img_valid.pt,1.0,0.649,0.637,0.628,0.625,0.619,0.613,0.611,0.604,0.6,0.597,0.593,0.588,0.58,0.578,0.572,0.569,0.565,0.552,0.533,0.283
stylegan2_lsundog_256x256.pt,1.0,0.9401197604790419,0.9401197604790419,0.9401197604790419,0.9401197604790419,0.9341317365269461,0.9341317365269461,0.9281437125748503,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.9161676646706587,0.7544910179640718
stylegan3_r_ffhqu_1024x1024.pt,1.0,0.8982035928143712,0.8922155688622755,0.8922155688622755,0.8922155688622755,0.8802395209580839,0.8802395209580839,0.8802395209580839,0.874251497005988,0.8682634730538922,0.8622754491017964,0.8622754491017964,0.8622754491017964,0.8562874251497006,0.8562874251497006,0.8562874251497006,0.8562874251497006,0.8562874251497006,0.8502994011976048,0.8502994011976048,0.5748502994011976
guided-diffusion_noise2image_LSUNcats.pt,1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.0
stable_diffusion_256.pt,1.0,0.867,0.86,0.854,0.849,0.846,0.841,0.836,0.833,0.831,0.826,0.825,0.822,0.817,0.815,0.812,0.808,0.802,0.8,0.787,0.549
guided-diffusion_class2image_ImageNet.pt,1.0,0.384,0.377,0.366,0.363,0.36,0.359,0.357,0.353,0.349,0.343,0.343,0.34,0.337,0.335,0.333,0.327,0.324,0.313,0.295,0.142
stylegan2_ffhq_256x256.pt,1.0,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9820359281437125,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.8802395209580839
whichfaceisreal.pt,1.0,0.985,0.982,0.981,0.978,0.977,0.977,0.977,0.976,0.975,0.974,0.974,0.974,0.973,0.971,0.969,0.968,0.965,0.961,0.959,0.872
latent-diffusion_noise2image_LSUNchurches.pt,1.0,0.164,0.16,0.16,0.16,0.148,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.136,0.132,0.132,0.132,0.124,0.024
latent-diffusion_text2img_valid.pt,1.0,0.624,0.612,0.602,0.601,0.597,0.592,0.589,0.585,0.579,0.576,0.572,0.57,0.567,0.562,0.559,0.552,0.548,0.547,0.534,0.317
stargan.pt,1.0,0.9934967483741871,0.992496248124062,0.9909954977488744,0.9904952476238119,0.9899949974987494,0.9899949974987494,0.9899949974987494,0.9884942471235618,0.9879939969984992,0.9874937468734367,0.9864932466233116,0.9864932466233116,0.9864932466233116,0.9864932466233116,0.9859929964982491,0.9844922461230615,0.9829914957478739,0.9819909954977488,0.9794897448724362,0.8239119559779889
