,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00
stylegan2_ffhq_1024x1024.pt,1.0,0.996996996996997,0.972972972972973,0.948948948948949,0.9369369369369369,0.9129129129129129,0.9009009009009009,0.8558558558558559,0.8318318318318318,0.8018018018018018,0.7717717717717718,0.7567567567567568,0.7177177177177178,0.6906906906906907,0.6486486486486487,0.6066066066066066,0.5615615615615616,0.4924924924924925,0.4084084084084084,0.2882882882882883,0.0
deepfake.pt,1.0,0.9562638991845812,0.9151223128243143,0.8713862120088954,0.8328391401037806,0.7950333580429948,0.7568569310600445,0.7190511489992587,0.678650852483321,0.6456634544106745,0.6063750926612306,0.5656041512231282,0.5318754633061527,0.49147516679021497,0.45107487027427723,0.4080800593031875,0.3647146034099333,0.312824314306894,0.2357301704966642,0.15159377316530764,0.0
stable_diffusion_512_50steps.pt,1.0,0.732,0.648,0.596,0.5565,0.5235,0.491,0.4635,0.4395,0.4155,0.39,0.361,0.3375,0.3125,0.288,0.265,0.237,0.212,0.1765,0.1125,0.0
biggan_512.pt,1.0,0.918,0.876,0.854,0.832,0.814,0.8,0.786,0.762,0.75,0.728,0.716,0.694,0.686,0.666,0.642,0.63,0.596,0.538,0.456,0.0
ffhq.pt,0.0,0.229,0.39,0.493,0.567,0.617,0.663,0.701,0.732,0.765,0.795,0.822,0.847,0.867,0.886,0.904,0.925,0.946,0.968,0.986,1.0
stable_diffusion_256.pt,1.0,0.987,0.971,0.964,0.961,0.954,0.938,0.925,0.914,0.902,0.886,0.872,0.854,0.827,0.803,0.783,0.759,0.717,0.662,0.552,0.0
glide_text2img_valid.pt,1.0,0.975,0.954,0.941,0.929,0.922,0.912,0.903,0.887,0.872,0.865,0.852,0.836,0.821,0.809,0.778,0.745,0.705,0.655,0.576,0.0
latent-diffusion_text2img_valid.pt,1.0,0.91,0.848,0.801,0.768,0.743,0.703,0.67,0.636,0.602,0.587,0.558,0.525,0.501,0.475,0.436,0.399,0.35,0.292,0.205,0.0
biggan_256.pt,1.0,0.976,0.96,0.956,0.946,0.938,0.922,0.914,0.904,0.89,0.882,0.872,0.86,0.844,0.828,0.8,0.774,0.746,0.702,0.636,0.0
crn.pt,1.0,1.0,1.0,1.0,0.9998433093074272,0.9987464744594171,0.9971795675336885,0.9934189909119399,0.989815104982764,0.9833907865872767,0.9761830147289251,0.967251645252272,0.9531494829207146,0.9374804136634284,0.911939830774052,0.8838921968035098,0.847539956126606,0.7850203697900344,0.6988404888749609,0.5412096521466625,0.0
stylegan2_ffhq_256x256.pt,1.0,1.0,1.0,1.0,1.0,0.9940119760479041,0.9940119760479041,0.9880239520958084,0.9820359281437125,0.9700598802395209,0.9580838323353293,0.9161676646706587,0.8922155688622755,0.8622754491017964,0.8263473053892215,0.7904191616766467,0.7485029940119761,0.7065868263473054,0.6467065868263473,0.5209580838323353,0.0
eg3d.pt,1.0,0.984,0.955,0.927,0.896,0.859,0.814,0.766,0.739,0.691,0.65,0.617,0.568,0.532,0.498,0.458,0.385,0.33,0.26,0.179,0.0
dalle-mini_valid.pt,1.0,0.958,0.932,0.895,0.867,0.848,0.832,0.806,0.778,0.761,0.739,0.717,0.695,0.671,0.646,0.611,0.576,0.529,0.467,0.385,0.0
real_ucid.pt,0.0,0.2428998505231689,0.3609865470852018,0.4349775784753363,0.5082212257100149,0.5582959641255605,0.6150971599402093,0.6464872944693573,0.6711509715994021,0.7077727952167414,0.7324364723467862,0.7593423019431988,0.7899850523168909,0.8146487294469357,0.8400597907324364,0.85949177877429,0.8796711509715994,0.906576980568012,0.9304932735426009,0.9678624813153961,1.0
guided-diffusion_noise2image_LSUNhorses.pt,1.0,0.1,0.08,0.04666666666666667,0.03666666666666667,0.02,0.013333333333333334,0.013333333333333334,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.006666666666666667,0.006666666666666667,0.0033333333333333335,0.0
