,0.00,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00
latent-diffusion_noise2image_FFHQ.pt,1.0,0.994,0.988,0.984,0.982,0.968,0.962,0.956,0.95,0.938,0.924,0.92,0.91,0.902,0.878,0.848,0.824,0.794,0.74,0.642,0.002
stylegan3_t_afhqv2_512x512.pt,1.0,0.9698795180722891,0.9578313253012049,0.9457831325301205,0.9457831325301205,0.9216867469879518,0.9156626506024096,0.9096385542168675,0.891566265060241,0.8795180722891566,0.8614457831325302,0.8554216867469879,0.8554216867469879,0.8493975903614458,0.8373493975903614,0.7951807228915663,0.7650602409638554,0.7289156626506024,0.6867469879518072,0.6265060240963856,0.0
stylegan2_ffhq_1024x1024.pt,1.0,1.0,1.0,1.0,0.990990990990991,0.987987987987988,0.984984984984985,0.978978978978979,0.972972972972973,0.96996996996997,0.963963963963964,0.960960960960961,0.948948948948949,0.9429429429429429,0.933933933933934,0.9219219219219219,0.9129129129129129,0.9099099099099099,0.8918918918918919,0.8318318318318318,0.009009009009009009
celebA.pt,0.0,0.9534767383691846,0.9729864932466233,0.9784892446223111,0.9794897448724362,0.9844922461230615,0.9859929964982491,0.9889944972486243,0.9899949974987494,0.992496248124062,0.9944972486243121,0.9949974987493747,0.9974987493746873,0.9974987493746873,0.9974987493746873,0.9989994997498749,0.9989994997498749,0.9989994997498749,0.9989994997498749,1.0,1.0
latent-diffusion_text2img_valid.pt,1.0,0.877,0.838,0.811,0.792,0.774,0.764,0.745,0.729,0.717,0.701,0.687,0.676,0.659,0.649,0.637,0.609,0.583,0.543,0.47,0.003
stylegan3_r_ffhqu_256x256.pt,1.0,1.0,0.9940119760479041,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.9760479041916168,0.9700598802395209,0.9640718562874252,0.9640718562874252,0.9640718562874252,0.9580838323353293,0.9580838323353293,0.9520958083832335,0.9341317365269461,0.9221556886227545,0.9221556886227545,0.8862275449101796,0.0
whichfaceisreal.pt,1.0,1.0,0.997,0.996,0.995,0.993,0.99,0.989,0.988,0.986,0.983,0.977,0.975,0.974,0.966,0.959,0.95,0.933,0.914,0.87,0.006
stylegan3_t_ffhqu_1024x1024.pt,1.0,1.0,1.0,1.0,1.0,0.9820359281437125,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9640718562874252,0.9520958083832335,0.9401197604790419,0.9281437125748503,0.9161676646706587,0.9101796407185628,0.9101796407185628,0.9041916167664671,0.8862275449101796,0.8263473053892215,0.7784431137724551,0.0
real_coco_valid.pt,0.0,0.7166,0.7738,0.802,0.8224,0.8378,0.8512,0.8624,0.8742,0.8838,0.8922,0.9008,0.9074,0.915,0.9234,0.9344,0.9418,0.9516,0.9618,0.974,1.0
stylegan3_r_afhqv2_512x512.pt,1.0,0.9337349397590361,0.9096385542168675,0.891566265060241,0.8795180722891566,0.8313253012048193,0.8192771084337349,0.8012048192771084,0.7831325301204819,0.7831325301204819,0.7771084337349398,0.7469879518072289,0.7228915662650602,0.7108433734939759,0.6927710843373494,0.6867469879518072,0.6626506024096386,0.6385542168674698,0.6024096385542169,0.572289156626506,0.006024096385542169
guided-diffusion_class2image_ImageNet.pt,1.0,0.814,0.777,0.758,0.741,0.728,0.707,0.691,0.679,0.661,0.649,0.636,0.625,0.616,0.602,0.584,0.562,0.531,0.5,0.443,0.002
